file,real_seconds,user_seconds,sys_seconds,cpu_seconds
aws_aws-sdk-php__git-secrets-scan.yml,0.22,0.38,0.02,0.4
aws_aws-sdk-php__handle-stale-discussions.yml,0.24,0.41,0.01,0.42
aws_aws-sdk-php__issue-regression-labeler.yml,0.2,0.36,0.03,0.39
aws_aws-sdk-php__model-changes.yml,0.22,0.4,0.01,0.41
aws_aws-sdk-php__stale_issues.yml,0.21,0.33,0.06,0.39
aws_aws-sdk-php__tests-windows.yml,0.21,0.35,0.03,0.38
aws_aws-sdk-php__tests.yml,0.23,0.35,0.05,0.4
aws_aws-sdk-ruby__benchmark.yml,0.21,0.34,0.05,0.39
aws_aws-sdk-ruby__changelog.yml,0.21,0.38,0.03,0.41
aws_aws-sdk-ruby__ci.yml,0.21,0.37,0.0,0.37
aws_aws-sdk-ruby__closed-issue-message.yml,0.21,0.37,0.01,0.38
aws_aws-sdk-ruby__depsreview.yaml,0.21,0.35,0.03,0.38
aws_aws-sdk-ruby__handle-stale-discussions.yml,0.21,0.35,0.02,0.37
aws_aws-sdk-ruby__issue-regression-labeler.yml,0.22,0.38,0.0,0.38
aws_aws-sdk-ruby__pull-request-build.yaml,0.21,0.31,0.06,0.37
aws_aws-sdk-ruby__stale_issues.yml,0.26,0.41,0.02,0.43
aws_chalice__run-tests.yml,0.21,0.36,0.03,0.39
aws_chalice__stale-issue.yml,0.21,0.36,0.0,0.36
aws_jsii__auto-approve.yml,-1.35,0.37,0.04,0.41
aws_jsii__close-stale-issues.yml,0.21,0.32,0.05,0.37
aws_jsii__closed-issue-message.yml,0.21,0.4,0.0,0.4
aws_jsii__gh-pages.yml,0.26,0.43,0.02,0.45
aws_jsii__handle-stale-discussions.yml,0.27,0.39,0.06,0.45
aws_jsii__issue-regression-labeler.yml,0.27,0.41,0.06,0.47
aws_jsii__main.yml,0.23,0.38,0.03,0.41
aws_jsii__pull-request-lint.yml,0.27,0.43,0.03,0.46
aws_jsii__yarn-upgrade.yml,0.21,0.36,0.01,0.37
aws_s2n-tls__boringssl-fork-freshness.yml,0.27,0.4,0.05,0.45
aws_s2n-tls__ci_aws_kms_tls_auth.yml,0.28,0.41,0.03,0.44
aws_s2n-tls__ci_compliance.yml,0.23,0.36,0.05,0.41
aws_s2n-tls__ci_freebsd.yml,0.28,0.41,0.06,0.47
aws_s2n-tls__ci_linting.yml,0.22,0.33,0.06,0.39
aws_s2n-tls__ci_openbsd.yml,0.23,0.35,0.04,0.39
aws_s2n-tls__ci_rust.yml,0.28,0.46,0.03,0.49
aws_s2n-tls__codebuild.yml,0.21,0.37,0.02,0.39
aws_s2n-tls__codeql.yml,0.22,0.37,0.01,0.38
aws_s2n-tls__dashboard.yml,0.22,0.36,0.03,0.39
aws_s2n-tls__dependencies.yml,0.26,0.4,0.06,0.46
aws_s2n-tls__docs.yml,0.22,0.38,0.03,0.41
aws_s2n-tls__gha_osx_tests.yml,0.21,0.29,0.09,0.38
aws_s2n-tls__policy_snapshot.yml,0.23,0.31,0.08,0.39
aws_s2n-tls__private_sync.yml,0.25,0.38,0.04,0.42
aws_s2n-tls__proof_ci.yaml,0.24,0.38,0.05,0.43
aws_s2n-tls__regression_ci.yml,0.21,0.35,0.04,0.39
aws_s2n-tls__seccomp.yml,0.21,0.35,0.02,0.37
aws_s2n-tls__stale.yml,0.21,0.35,0.03,0.38
aws_s2n-tls__team_label.yml,0.22,0.35,0.02,0.37
aws_s2n-tls__usage_guide.yml,0.21,0.36,0.04,0.4
aws_sagemaker-python-sdk__ci-health.yml,0.21,0.37,0.02,0.39
aws_sagemaker-python-sdk__codeql.yml,0.22,0.38,0.03,0.41
aws_sagemaker-python-sdk__pr-checks-master-v2.yml,0.23,0.4,0.01,0.41
aws_sagemaker-python-sdk__pr-checks-master.yml,0.21,0.35,0.03,0.38
aws_sagemaker-python-sdk__security-monitoring.yml,0.22,0.42,0.0,0.42
aws_serverless-application-model__build.yml,0.22,0.37,0.02,0.39
aws_serverless-application-model__check_compatibility.yml,0.23,0.32,0.08,0.4
aws_serverless-application-model__close_issue_message.yml,0.22,0.34,0.04,0.38
aws_serverless-application-model__codeql.yml,0.21,0.33,0.06,0.39
aws_serverless-application-model__schema.yml,0.21,0.36,0.02,0.38
awslabs_amazon-ecr-credential-helper__build.yaml,0.22,0.37,0.04,0.41
awslabs_amazon-ecr-credential-helper__check-links.yml,0.24,0.36,0.04,0.4
awslabs_amazon-ecr-credential-helper__codeql.yml,0.22,0.4,0.01,0.41
awslabs_amazon-ecr-credential-helper__new-pull-requests.yml,0.21,0.33,0.05,0.38
awslabs_amazon-ecr-credential-helper__review-dependencies.yml,0.22,0.36,0.03,0.39
awslabs_git-secrets__test.yml,0.22,0.31,0.08,0.39
cisco_ChezScheme__ci.yml,0.21,0.38,0.0,0.38
cisco_openh264__build.yaml,0.22,0.33,0.07,0.4
facebook_Haxl__haskell-ci.yml,0.23,0.41,0.0,0.41
facebook_facebook-android-sdk__needs-attention.yml,0.21,0.34,0.03,0.37
facebook_facebook-android-sdk__stale.yml,0.25,0.41,0.03,0.44
facebook_facebook-ios-sdk__needs-attention.yml,0.22,0.34,0.06,0.4
facebook_facebook-ios-sdk__stale.yml,0.21,0.37,0.01,0.38
facebook_fbthrift__devcontainer.yml,0.23,0.33,0.09,0.42
facebook_fbthrift__getdeps_linux.yml,0.22,0.35,0.05,0.4
facebook_fbthrift__getdeps_mac.yml,0.22,0.39,0.01,0.4
facebook_fbthrift__getdeps_python_linux.yml,0.22,0.34,0.05,0.39
facebook_fbthrift__getdeps_python_linux_container.yml,0.21,0.36,0.02,0.38
facebook_fbthrift__getdeps_windows.yml,0.23,0.36,0.06,0.42
facebook_flow__build_and_test.yml,0.22,0.36,0.03,0.39
facebook_folly__TagIt.yml,0.22,0.37,0.02,0.39
facebook_folly__devcontainer.yml,0.21,0.37,0.01,0.38
facebook_folly__getdeps_linux.yml,0.22,0.41,0.01,0.42
facebook_folly__getdeps_mac.yml,0.21,0.35,0.04,0.39
facebook_folly__getdeps_shared-libs_linux.yml,0.23,0.39,0.01,0.4
facebook_folly__getdeps_windows.yml,0.21,0.35,0.02,0.37
facebook_folly__oss-build-and-test.yml,0.21,0.34,0.03,0.37
facebook_fresco__build.yml,0.2,0.35,0.03,0.38
facebook_fresco__gradle-wrapper-validation.yml,0.22,0.38,0.03,0.41
facebook_fresco__release.yml,0.23,0.38,0.02,0.4
facebook_hhvm__ubuntu.yml,0.22,0.34,0.04,0.38
facebook_infer__deploy.yml,0.21,0.32,0.05,0.37
facebook_infer__devsetup.yml,0.23,0.38,0.02,0.4
facebook_infer__install.yml,0.22,0.33,0.06,0.39
facebook_mcrouter__build.yml,0.22,0.34,0.05,0.39
facebook_proxygen__TagIt.yml,0.22,0.36,0.04,0.4
facebook_proxygen__close_stale.yml,0.22,0.35,0.04,0.39
facebook_proxygen__getdeps_linux.yml,0.22,0.35,0.04,0.39
facebook_proxygen__getdeps_mac.yml,0.26,0.4,0.02,0.42
facebook_proxygen__publish_mvfst_interop.yml,0.24,0.35,0.08,0.43
facebook_react-native__analyze-pr.yml,0.21,0.36,0.02,0.38
facebook_react-native__api-changes.yml,0.22,0.36,0.02,0.38
facebook_react-native__autorebase.yml,0.21,0.34,0.04,0.38
facebook_react-native__bump-podfile-lock.yml,0.21,0.39,0.01,0.4
facebook_react-native__cache-reaper.yml,0.21,0.38,0.01,0.39
facebook_react-native__check-for-reproducer.yml,0.25,0.4,0.03,0.43
facebook_react-native__close-pr.yml,0.23,0.38,0.04,0.42
facebook_react-native__create-draft-release.yml,0.24,0.41,0.02,0.43
facebook_react-native__create-release.yml,0.22,0.37,0.03,0.4
facebook_react-native__generate-changelog.yml,0.21,0.38,0.02,0.4
facebook_react-native__monitor-new-issues.yml,0.22,0.35,0.03,0.38
facebook_react-native__needs-attention.yml,0.22,0.33,0.06,0.39
facebook_react-native__nightly.yml,0.25,0.43,0.01,0.44
facebook_react-native__on-issue-labeled.yml,0.22,0.38,0.02,0.4
facebook_react-native__prebuild-ios-core.yml,0.24,0.29,0.12,0.41
facebook_react-native__prebuild-ios-dependencies.yml,0.21,0.31,0.06,0.37
facebook_react-native__publish-bumped-packages.yml,0.24,0.36,0.05,0.41
facebook_react-native__publish-release.yml,0.22,0.35,0.05,0.4
facebook_react-native__retry-workflow.yml,0.21,0.31,0.06,0.37
facebook_react-native__stale-bot.yml,0.22,0.37,0.01,0.38
facebook_react-native__test-all.yml,0.21,0.36,0.04,0.4
facebook_react-native__test-hermes-v1-android.yml,0.22,0.36,0.02,0.38
facebook_react-native__test-hermes-v1-ios.yml,0.21,0.35,0.03,0.38
facebook_react-native__test-hermes-v1.yml,0.21,0.36,0.03,0.39
facebook_react-native__validate-dotslash-artifacts.yml,0.21,0.37,0.03,0.4
facebook_react__compiler_discord_notify.yml,0.24,0.39,0.04,0.43
facebook_react__compiler_playground.yml,0.26,0.4,0.05,0.45
facebook_react__compiler_prereleases.yml,0.23,0.35,0.04,0.39
facebook_react__compiler_prereleases_manual.yml,0.22,0.34,0.03,0.37
facebook_react__compiler_prereleases_nightly.yml,0.22,0.37,0.02,0.39
facebook_react__compiler_typescript.yml,0.21,0.37,0.02,0.39
facebook_react__devtools_discord_notify.yml,0.22,0.38,0.01,0.39
facebook_react__devtools_regression_tests.yml,0.22,0.34,0.04,0.38
facebook_react__runtime_build_and_test.yml,0.22,0.37,0.01,0.38
facebook_react__runtime_commit_artifacts.yml,0.23,0.36,0.04,0.4
facebook_react__runtime_discord_notify.yml,0.22,0.39,0.01,0.4
facebook_react__runtime_eslint_plugin_e2e.yml,0.2,0.36,0.01,0.37
facebook_react__runtime_fuzz_tests.yml,0.21,0.36,0.03,0.39
facebook_react__runtime_prereleases.yml,0.21,0.34,0.04,0.38
facebook_react__runtime_prereleases_manual.yml,0.22,0.39,0.01,0.4
facebook_react__runtime_prereleases_nightly.yml,0.25,0.35,0.07,0.42
facebook_react__runtime_releases_from_npm_manual.yml,0.22,0.35,0.04,0.39
facebook_react__shared_check_maintainer.yml,0.21,0.37,0.01,0.38
facebook_react__shared_cleanup_merged_branch_caches.yml,0.22,0.36,0.03,0.39
facebook_react__shared_cleanup_stale_branch_caches.yml,0.23,0.36,0.05,0.41
facebook_react__shared_close_direct_sync_branch_prs.yml,0.21,0.29,0.1,0.39
facebook_react__shared_label_core_team_prs.yml,0.22,0.38,0.02,0.4
facebook_react__shared_lint.yml,0.23,0.41,0.01,0.42
facebook_react__shared_stale.yml,0.22,0.34,0.06,0.4
facebook_rocksdb__benchmark-linux.yml,0.21,0.31,0.07,0.38
facebook_rocksdb__nightly-candidate.yml,0.22,0.35,0.04,0.39
facebook_rocksdb__nightly.yml,0.21,0.29,0.09,0.38
facebook_rocksdb__pr-jobs-candidate.yml,0.28,0.44,0.02,0.46
facebook_rocksdb__pr-jobs.yml,0.24,0.4,0.01,0.41
facebook_rocksdb__weekly.yml,0.24,0.36,0.06,0.42
facebook_wangle__TagIt.yml,0.25,0.41,0.03,0.44
facebook_wangle__getdeps_linux.yml,0.21,0.33,0.06,0.39
facebook_wangle__getdeps_mac.yml,0.28,0.43,0.05,0.48
facebook_wangle__getdeps_windows.yml,0.22,0.39,0.01,0.4
facebook_watchman__getdeps_linux.yml,-1.39,0.4,0.03,0.43
facebook_watchman__getdeps_mac.yml,0.22,0.39,0.02,0.41
facebook_watchman__getdeps_windows.yml,0.23,0.39,0.01,0.4
facebook_watchman__package.yml,0.28,0.43,0.03,0.46
facebook_watchman__release.yml,0.21,0.37,0.04,0.41
facebook_yoga__publish-android-release.yml,0.21,0.35,0.01,0.36
facebook_yoga__publish-android-snashot.yml,0.28,0.44,0.02,0.46
facebook_yoga__publish-npm-release.yml,0.22,0.33,0.07,0.4
facebook_yoga__validate-android.yml,0.22,0.38,0.02,0.4
facebook_yoga__validate-cpp.yml,0.24,0.39,0.03,0.42
facebook_yoga__validate-js.yml,0.29,0.45,0.04,0.49
facebook_yoga__validate-swiftpm.yml,0.24,0.4,0.01,0.41
facebook_yoga__validate-tests.yml,0.27,0.38,0.08,0.46
facebook_yoga__validate-website.yml,0.23,0.37,0.04,0.41
facebook_zstd__android-ndk-build.yml,0.21,0.34,0.04,0.38
facebook_zstd__cmake-tests.yml,0.22,0.38,0.02,0.4
facebook_zstd__commit.yml,0.21,0.37,0.03,0.4
facebook_zstd__dev-long-tests.yml,0.22,0.34,0.05,0.39
facebook_zstd__dev-short-tests.yml,0.21,0.35,0.03,0.38
facebook_zstd__nightly.yml,0.23,0.42,0.01,0.43
facebook_zstd__publish-release-artifacts.yml,0.21,0.37,0.01,0.38
facebook_zstd__release_check.yml,0.25,0.43,0.0,0.43
facebook_zstd__scorecards.yml,0.21,0.36,0.04,0.4
facebook_zstd__windows-artifacts.yml,0.22,0.4,0.02,0.42
facebookincubator_AITemplate__docs.yaml,0.23,0.39,0.01,0.4
facebookincubator_AITemplate__pages.yaml,0.21,0.33,0.04,0.37
facebookincubator_AITemplate__pylint.yaml,0.22,0.33,0.07,0.4
facebookincubator_AITemplate__rocm_ci.yml,0.21,0.35,0.03,0.38
facebookincubator_below__ci.yml,0.24,0.41,0.01,0.42
facebookincubator_below__dockerhub.yml,0.21,0.33,0.05,0.38
facebookincubator_cinder__add-issue-header.yml,0.21,0.3,0.1,0.4
facebookincubator_cinder__build.yml,0.22,0.4,0.03,0.43
facebookincubator_cinder__documentation-links.yml,0.23,0.36,0.03,0.39
facebookincubator_cinder__jit.yml,0.22,0.39,0.02,0.41
facebookincubator_cinder__lint.yml,0.23,0.33,0.07,0.4
facebookincubator_cinder__mypy.yml,0.24,0.43,0.02,0.45
facebookincubator_cinder__new-bugs-announce-notifier.yml,0.22,0.33,0.04,0.37
facebookincubator_cinder__project-updater.yml,0.24,0.39,0.03,0.42
facebookincubator_cinder__require-pr-label.yml,0.21,0.33,0.05,0.38
facebookincubator_cinder__reusable-cifuzz.yml,0.22,0.37,0.03,0.4
facebookincubator_cinder__reusable-context.yml,0.22,0.36,0.04,0.4
facebookincubator_cinder__reusable-docs.yml,0.22,0.4,0.0,0.4
facebookincubator_cinder__reusable-macos.yml,0.22,0.35,0.05,0.4
facebookincubator_cinder__reusable-san.yml,0.21,0.36,0.03,0.39
facebookincubator_cinder__reusable-ubuntu.yml,0.21,0.36,0.02,0.38
facebookincubator_cinder__reusable-wasi.yml,0.22,0.37,0.03,0.4
facebookincubator_cinder__reusable-windows-msi.yml,0.22,0.34,0.03,0.37
facebookincubator_cinder__reusable-windows.yml,0.24,0.4,0.01,0.41
facebookincubator_cinder__stale.yml,0.23,0.38,0.04,0.42
facebookincubator_cinder__tail-call.yml,0.23,0.34,0.08,0.42
facebookincubator_cinder__verify-ensurepip-wheels.yml,0.21,0.38,0.02,0.4
facebookincubator_katran__getdeps_linux.yml,0.21,0.34,0.03,0.37
facebookincubator_katran__stale.yml,0.22,0.36,0.03,0.39
facebookincubator_oomd__ci.yml,0.22,0.4,0.0,0.4
facebookincubator_velox__benchmark.yml,0.23,0.36,0.03,0.39
facebookincubator_velox__breeze.yml,0.23,0.39,0.02,0.41
facebookincubator_velox__build-metrics.yml,0.25,0.35,0.08,0.43
facebookincubator_velox__build_pyvelox.yml,0.23,0.37,0.03,0.4
facebookincubator_velox__docker.yml,0.23,0.35,0.04,0.39
facebookincubator_velox__docs.yml,0.22,0.39,0.02,0.41
facebookincubator_velox__linux-build-base.yml,0.22,0.36,0.01,0.37
facebookincubator_velox__linux-build.yml,0.22,0.38,0.01,0.39
facebookincubator_velox__macos.yml,0.26,0.43,0.03,0.46
facebookincubator_velox__preliminary_checks.yml,0.22,0.38,0.0,0.38
facebookincubator_velox__scheduled.yml,0.25,0.41,0.02,0.43
facebookincubator_velox__tag.yml,0.22,0.33,0.05,0.38
facebookresearch_fairseq__build.yml,0.22,0.36,0.02,0.38
facebookresearch_fairseq__depreview.yml,0.23,0.37,0.03,0.4
facebookresearch_fairseq__release.yml,0.22,0.35,0.04,0.39
facebookresearch_faiss__autoclose.yml,0.21,0.35,0.03,0.38
facebookresearch_faiss__build-pull-request.yml,0.22,0.34,0.04,0.38
facebookresearch_faiss__build-release.yml,0.22,0.35,0.04,0.39
facebookresearch_faiss__build.yml,0.22,0.37,0.03,0.4
facebookresearch_faiss__index-io-backward-compatibility.yml,0.26,0.44,0.0,0.44
facebookresearch_faiss__nightly.yml,0.23,0.4,0.02,0.42
facebookresearch_faiss__publish-docs.yml,0.22,0.36,0.04,0.4
facebookresearch_faiss__retry_build.yml,0.23,0.33,0.07,0.4
facebookresearch_faiss__update-doxygen.yml,0.21,0.32,0.07,0.39
facebookresearch_mmf__cpu_test.yaml,0.22,0.37,0.04,0.41
facebookresearch_mmf__deploy_website.yaml,0.21,0.37,0.01,0.38
facebookresearch_mmf__linter_test.yaml,0.22,0.38,0.02,0.4
facebookresearch_nevergrad__every_commit.yml,0.21,0.35,0.03,0.38
facebookresearch_nevergrad__main.yml,0.23,0.39,0.04,0.43
facebookresearch_nevergrad__version.yml,0.22,0.38,0.03,0.41
microsoft_TypeScript__accept-baselines-fix-lints.yaml,0.21,0.35,0.03,0.38
microsoft_TypeScript__ci.yml,0.22,0.4,0.03,0.43
microsoft_TypeScript__close-issues.yml,0.22,0.36,0.03,0.39
microsoft_TypeScript__codeql.yml,0.21,0.35,0.04,0.39
microsoft_TypeScript__copilot-setup-steps.yml,0.22,0.33,0.07,0.4
microsoft_TypeScript__create-cherry-pick-pr.yml,0.22,0.36,0.03,0.39
microsoft_TypeScript__insiders.yaml,0.23,0.38,0.04,0.42
microsoft_TypeScript__lkg.yml,0.23,0.4,0.02,0.42
microsoft_TypeScript__new-release-branch.yaml,0.23,0.39,0.0,0.39
microsoft_TypeScript__nightly.yaml,0.22,0.34,0.08,0.42
microsoft_TypeScript__pr-modified-files.yml,0.21,0.37,0.02,0.39
microsoft_TypeScript__release-branch-artifact.yaml,0.21,0.34,0.04,0.38
microsoft_TypeScript__scorecard.yml,0.21,0.35,0.03,0.38
microsoft_TypeScript__set-version.yaml,0.21,0.36,0.03,0.39
microsoft_TypeScript__sync-branch.yaml,0.21,0.34,0.06,0.4
microsoft_TypeScript__sync-wiki.yml,0.22,0.4,0.02,0.42
microsoft_TypeScript__twoslash-repros.yaml,0.22,0.38,0.02,0.4
microsoft_TypeScript__update-package-lock.yaml,0.23,0.36,0.03,0.39
oracle_docker-images__build-and-push-dev-images.yml,0.21,0.36,0.02,0.38
oracle_docker-images__build-and-push-instantclient-images.yml,0.22,0.34,0.05,0.39
oracle_docker-images__build-and-push-nosql-image.yml,0.23,0.35,0.07,0.42
oracle_docker-images__build-and-push-nosql-sec-image.yml,0.22,0.34,0.06,0.4
oracle_docker-images__build-and-push-oci-cli-image.yml,0.21,0.35,0.04,0.39
oracle_docker-images__super-linter.yml,0.22,0.34,0.06,0.4
oracle_graal__cdt-inspect.yml,0.21,0.35,0.02,0.37
oracle_graal__main.yml,0.22,0.34,0.04,0.38
oracle_graal__micronaut-future-defaults.yml,0.24,0.38,0.04,0.42
oracle_graal__micronaut-template.yml,0.21,0.37,0.01,0.38
oracle_graal__micronaut.yml,0.22,0.34,0.04,0.38
oracle_graal__ni-layers.yml,0.21,0.35,0.03,0.38
oracle_graal__quarkus-future-defaults.yml,0.22,0.4,0.01,0.41
oracle_graal__quarkus-template.yml,0.21,0.35,0.03,0.38
oracle_graal__quarkus.yml,0.21,0.33,0.03,0.36
oracle_graal__reachability-metadata-future-defaults.yml,0.2,0.32,0.05,0.37
oracle_graal__reachability-metadata-template.yml,0.22,0.32,0.07,0.39
oracle_graal__reachability-metadata.yml,0.26,0.4,0.03,0.43
oracle_graal__spring-future-defaults.yml,0.22,0.35,0.04,0.39
oracle_graal__spring-template.yml,0.22,0.36,0.04,0.4
oracle_graal__spring.yml,0.22,0.37,0.03,0.4
oracle_opengrok__apiary.yml,0.21,0.34,0.06,0.4
oracle_opengrok__build.yml,0.22,0.38,0.02,0.4
oracle_opengrok__codeql-analysis.yml,0.21,0.35,0.02,0.37
oracle_opengrok__docker.yml,0.22,0.35,0.03,0.38
oracle_opengrok__javadoc.yml,0.21,0.37,0.01,0.38
oracle_opengrok__release.yml,0.21,0.32,0.05,0.37
