file,real_seconds,user_seconds,sys_seconds,cpu_seconds
IBM_sarama__fvt.yml,0.21,0.36,0.03,0.39
IBM_sarama__i386.yml,0.21,0.37,0.02,0.39
IBM_sarama__renovate-config.yml,0.21,0.37,0.01,0.38
IBM_sarama__scorecard.yml,0.21,0.36,0.02,0.38
IBM_sarama__stale.yml,0.21,0.36,0.02,0.38
NVIDIA_cutlass__auto-label-issues.yml,0.26,0.39,0.04,0.43
NVIDIA_cutlass__blossom-ci.yml,0.21,0.36,0.03,0.39
NVIDIA_cutlass__labeler.yml,0.27,0.38,0.07,0.45
NVIDIA_cutlass__new-issues-to-triage-projects.yml,0.26,0.39,0.06,0.45
NVIDIA_cutlass__stale.yml,0.28,0.4,0.09,0.49
NVIDIA_k8s-device-plugin__basic-checks.yaml,0.24,0.39,0.04,0.43
NVIDIA_k8s-device-plugin__cherrypick.yml,0.24,0.38,0.03,0.41
NVIDIA_k8s-device-plugin__ci.yaml,0.27,0.42,0.05,0.47
NVIDIA_k8s-device-plugin__code_scanning.yaml,0.24,0.4,0.01,0.41
NVIDIA_k8s-device-plugin__deploy-to-pages.yaml,0.26,0.39,0.04,0.43
NVIDIA_k8s-device-plugin__e2e.yaml,0.21,0.38,0.0,0.38
NVIDIA_k8s-device-plugin__golang.yaml,-1.48,0.41,0.05,0.46
NVIDIA_k8s-device-plugin__helm.yaml,0.25,0.37,0.06,0.43
NVIDIA_k8s-device-plugin__image.yaml,0.28,0.43,0.02,0.45
NVIDIA_k8s-device-plugin__publish-helm.yaml,0.22,0.35,0.06,0.41
NVIDIA_k8s-device-plugin__release.yaml,0.25,0.42,0.01,0.43
NVIDIA_k8s-device-plugin__stale.yaml,0.28,0.42,0.07,0.49
NVIDIA_k8s-device-plugin__variables.yaml,0.22,0.33,0.07,0.4
Tencent_Hippy__3rd_prebuilt_sqlite.yml,0.22,0.4,0.0,0.4
Tencent_Hippy__3rd_prebuilt_v8.yml,0.28,0.44,0.03,0.47
Tencent_Hippy__android_build_tests.yml,0.21,0.31,0.06,0.37
Tencent_Hippy__android_build_tests_bypass.yml,0.23,0.37,0.03,0.4
Tencent_Hippy__docker_build_image.yml,0.22,0.38,0.01,0.39
Tencent_Hippy__docs_markdown_lint.yml,0.22,0.36,0.03,0.39
Tencent_Hippy__docs_markdown_lint_bypass.yml,0.21,0.36,0.03,0.39
Tencent_Hippy__frontend_build_tests.yml,0.26,0.42,0.03,0.45
Tencent_Hippy__frontend_build_tests_bypass.yml,0.22,0.39,0.01,0.4
Tencent_Hippy__gh_action_approve_checks.yml,0.22,0.37,0.04,0.41
Tencent_Hippy__gh_action_merge.yml,0.21,0.35,0.03,0.38
Tencent_Hippy__gh_issue_crash_report.yml,0.21,0.36,0.03,0.39
